MonthKey,Year,Month,Quarter
200001,2000,1,1
200002,2000,2,1
200003,2000,3,1
200004,2000,4,2
200005,2000,5,2
200006,2000,6,2
200007,2000,7,3
200008,2000,8,3
200009,2000,9,3
200010,2000,10,4
200011,2000,11,4
200012,2000,12,4
200101,2001,1,1
200102,2001,2,1
200103,2001,3,1
200104,2001,4,2
200105,2001,5,2
200106,2001,6,2
200107,2001,7,3
200108,2001,8,3
200109,2001,9,3
200110,2001,10,4
200111,2001,11,4
200112,2001,12,4
200201,2002,1,1
200202,2002,2,1
200203,2002,3,1
200204,2002,4,2
200205,2002,5,2
200206,2002,6,2
200207,2002,7,3
200208,2002,8,3
200209,2002,9,3
200210,2002,10,4
200211,2002,11,4
200212,2002,12,4
200301,2003,1,1
200302,2003,2,1
200303,2003,3,1
200304,2003,4,2
200305,2003,5,2
200306,2003,6,2
200307,2003,7,3
200308,2003,8,3
200309,2003,9,3
200310,2003,10,4
200311,2003,11,4
200312,2003,12,4
200401,2004,1,1
200402,2004,2,1
200403,2004,3,1
200404,2004,4,2
200405,2004,5,2
200406,2004,6,2
200407,2004,7,3
200408,2004,8,3
200409,2004,9,3
200410,2004,10,4
200411,2004,11,4
200412,2004,12,4
200501,2005,1,1
200502,2005,2,1
200503,2005,3,1
200504,2005,4,2
200505,2005,5,2
200506,2005,6,2
200507,2005,7,3
200508,2005,8,3
200509,2005,9,3
200510,2005,10,4
200511,2005,11,4
200512,2005,12,4
200601,2006,1,1
200602,2006,2,1
200603,2006,3,1
200604,2006,4,2
200605,2006,5,2
200606,2006,6,2
200607,2006,7,3
200608,2006,8,3
200609,2006,9,3
200610,2006,10,4
200611,2006,11,4
200612,2006,12,4
200701,2007,1,1
200702,2007,2,1
200703,2007,3,1
200704,2007,4,2
200705,2007,5,2
200706,2007,6,2
200707,2007,7,3
200708,2007,8,3
200709,2007,9,3
200710,2007,10,4
200711,2007,11,4
200712,2007,12,4
200801,2008,1,1
200802,2008,2,1
200803,2008,3,1
200804,2008,4,2
200805,2008,5,2
200806,2008,6,2
200807,2008,7,3
200808,2008,8,3
200809,2008,9,3
200810,2008,10,4
200811,2008,11,4
200812,2008,12,4
200901,2009,1,1
200902,2009,2,1
200903,2009,3,1
200904,2009,4,2
200905,2009,5,2
200906,2009,6,2
200907,2009,7,3
200908,2009,8,3
200909,2009,9,3
200910,2009,10,4
200911,2009,11,4
200912,2009,12,4
201001,2010,1,1
201002,2010,2,1
201003,2010,3,1
201004,2010,4,2
201005,2010,5,2
201006,2010,6,2
201007,2010,7,3
201008,2010,8,3
201009,2010,9,3
201010,2010,10,4
201011,2010,11,4
201012,2010,12,4
