country,year,code,alkohol_consumption,GDP,population,unemployment,HealthExpenditure
Albania,2000,ALB,6.57,5893.13623256329,3129246.0,19.03,355.1513333767939
Albania,2001,ALB,6.7860000000000005,6441.85345238676,3129701.0,18.58,361.67753287221126
Albania,2002,ALB,7.002000000000001,6754.53600301332,3126183.0,17.9,366.6291363700103
Albania,2003,ALB,7.218,7154.78482512179,3118017.0,16.99,487.50448842581983
Albania,2004,ALB,7.434,7580.62909108667,3104893.0,16.31,467.5457587712593
Albania,2005,ALB,7.65,8040.87871678112,3086810.0,15.97,417.03339859988625
Albania,2006,ALB,7.658,8569.19111251045,3063021.0,15.63,486.95453456059954
Albania,2007,ALB,7.666,9150.51874704368,3033993.0,15.97,610.781540017273
Albania,2008,ALB,7.674,9912.57724242974,3002683.0,13.06,575.9655211599426
Albania,2009,ALB,7.682,10313.926441304,2973044.0,13.67,556.0553860975814
Albania,2010,ALB,7.69,10749.4874481658,2948029.0,14.09,644.1482287918486
Andorra,2000,AND,13.28,44693.93848385274,65390.0,12.004999999999999,4917.109995192265
Andorra,2001,AND,13.134,45660.827997619264,67344.0,9.48,4181.579481609854
Andorra,2002,AND,12.988,46035.70850767601,70048.0,9.925,5479.943483501812
Andorra,2003,AND,12.842,46310.35913203542,73180.0,9.795,5509.645193704457
Andorra,2004,AND,12.696,47113.443532462145,76250.0,10.0,5376.937819463497
Andorra,2005,AND,12.55,47764.41283318518,78871.0,8.82,5571.621953391945
Andorra,2006,AND,12.262,48735.62455990368,80995.0,8.45,5755.3590227409395
Andorra,2007,AND,11.974,49588.8210728664,82682.0,7.945,5774.7970746068295
Andorra,2008,AND,11.686,49341.96298165728,83860.0,9.155,5802.635419332881
Andorra,2009,AND,11.398,47386.30145052078,84461.0,13.3,4646.314094806772
Andorra,2010,AND,11.11,47680.28873983769,84454.0,14.364999999999998,4444.744264336488
Austria,2000,AUT,13.12,46403.2776992589,8069276.0,4.69,5335.4080171136475
Austria,2001,AUT,13.053999999999998,46811.746772924,8097755.0,4.01,5085.8433315824295
Austria,2002,AUT,12.988,47351.3346982706,8134403.0,4.85,5034.823364242312
Austria,2003,AUT,12.921999999999999,47564.8638976916,8175855.0,4.78,4771.99366867096
Austria,2004,AUT,12.856,48563.5886574222,8216809.0,5.83,5820.03638601818
Austria,2005,AUT,12.79,49316.2647023136,8253656.0,5.63,4442.514365312719
Austria,2006,AUT,12.671999999999999,50767.8484448075,8285344.0,5.24,5167.397363271228
Austria,2007,AUT,12.553999999999998,52489.7572106205,8313731.0,4.86,5517.069398901765
Austria,2008,AUT,12.436,53089.8763414956,8341525.0,4.13,4812.827394917619
Austria,2009,AUT,12.318,50957.6063796813,8372657.0,5.3,5869.391680696603
Austria,2010,AUT,12.2,51769.1455641151,8409945.0,4.82,5165.580291663225
Belarus,2000,BLR,15.17,8053.17363808324,9871635.0,12.26,547.3319138096608
Belarus,2001,BLR,15.196,8477.08401148315,9811399.0,11.55,457.7287020813406
Belarus,2002,BLR,15.222,8961.64111959338,9745932.0,10.91,577.5558406736293
Belarus,2003,BLR,15.248000000000001,9660.19368845286,9679235.0,10.32,660.5183343811202
Belarus,2004,BLR,15.274000000000001,10839.9562728165,9616628.0,9.82,568.6076731443821
Belarus,2005,BLR,15.3,11940.1865961058,9562083.0,9.06,604.6676577575449
Belarus,2006,BLR,15.726,13214.87158024,9516884.0,8.4,798.8134409370689
Belarus,2007,BLR,16.152,14417.3535308989,9480514.0,7.67,786.656092700192
Belarus,2008,BLR,16.578,15942.8976797373,9452855.0,7.03,859.1633158975934
Belarus,2009,BLR,17.004,16010.439955622,9433159.0,6.1,1091.9311415152747
Belarus,2010,BLR,17.43,17288.4043493433,9420576.0,6.25,993.869641405152
Belgium,2000,BEL,12.49,43023.30716339,10282046.0,6.59,4192.718894429878
Belgium,2001,BEL,12.618,43347.0501969365,10319026.0,6.18,4183.8489883709735
Belgium,2002,BEL,12.746,43889.7485927091,10364879.0,6.91,4634.083281538205
Belgium,2003,BEL,12.874,44160.0566799357,10419029.0,7.68,4006.5176378993183
Belgium,2004,BEL,13.002,45539.5854609401,10480118.0,7.36,4599.324231195117
Belgium,2005,BEL,13.13,46341.2896407062,10546885.0,8.44,5316.386036095191
Belgium,2006,BEL,12.784,47211.6639573888,10619484.0,8.25,4686.2414707340085
Belgium,2007,BEL,12.438,48589.4600517703,10697576.0,7.46,4929.507063592982
Belgium,2008,BEL,12.092,48422.5782305146,10778764.0,6.98,5731.20199826508
Belgium,2009,BEL,11.746,47063.8790649801,10859934.0,7.91,5630.9869315499645
Belgium,2010,BEL,11.4,47971.6303134944,10938735.0,8.29,4461.076937973585
Bosnia and Herzegovina,2000,BIH,6.37,7114.5527648191,3751176.0,25.78,482.0249841352933
Bosnia and Herzegovina,2001,BIH,6.5360000000000005,7419.0134138563,3755514.0,26.61,395.9072894690079
Bosnia and Herzegovina,2002,BIH,6.702,7804.16871769608,3759389.0,27.55,455.4336755154881
Bosnia and Herzegovina,2003,BIH,6.868,8110.31643838943,3762179.0,28.36,494.62562855971464
Bosnia and Herzegovina,2004,BIH,7.034,8600.43670289933,3764194.0,29.37,578.3890194088931
Bosnia and Herzegovina,2005,BIH,7.2,9350.94404211336,3765332.0,30.41,543.8314714872749
Bosnia and Herzegovina,2006,BIH,7.224,9856.9688824779,3765422.0,31.11,576.4685026460669
Bosnia and Herzegovina,2007,BIH,7.248,10441.7963196058,3762791.0,28.98,727.8097977706049
Bosnia and Herzegovina,2008,BIH,7.272,11035.0385848851,3754261.0,23.41,606.7504203318049
Bosnia and Herzegovina,2009,BIH,7.296,10755.9711188788,3735945.0,24.07,669.1270990833661
Bosnia and Herzegovina,2010,BIH,7.32,10938.2850480476,3705478.0,27.31,548.0019546939196
Bulgaria,2000,BGR,11.8,10201.2781187994,7997951.0,16.22,640.9325050718425
Bulgaria,2001,BGR,11.724,10803.6192901151,7930700.0,19.92,710.5743695358946
Bulgaria,2002,BGR,11.648,11697.9536355983,7866242.0,18.11,659.4208134771987
Bulgaria,2003,BGR,11.572000000000001,12398.4353645885,7804306.0,13.73,736.4100028385302
Bulgaria,2004,BGR,11.496,13297.1135244978,7744630.0,12.04,879.1100835973263
Bulgaria,2005,BGR,11.42,14356.019677453,7686964.0,10.08,889.0259233208842
Bulgaria,2006,BGR,11.4,15449.4350933122,7631020.0,8.95,1038.106155377004
Bulgaria,2007,BGR,11.38,16583.9587844953,7576675.0,6.88,1160.283307241293
Bulgaria,2008,BGR,11.36,17717.1218284588,7524084.0,5.61,1078.3807429616402
Bulgaria,2009,BGR,11.34,17229.8494817825,7473509.0,6.82,924.9155526726494
Bulgaria,2010,BGR,11.32,17440.671883099,7425011.0,10.28,1159.911193135744
Croatia,2000,HRV,12.45,18183.5881144119,4428075.0,16.06,1014.8249724023154
Croatia,2001,HRV,12.022,19455.7815687732,4408073.0,15.82,1309.7930305447173
Croatia,2002,HRV,11.594,20548.4106590796,4395802.0,15.05,1446.1001687619298
Croatia,2003,HRV,11.166,21700.2987445833,4388909.0,13.92,1858.7562579645698
Croatia,2004,HRV,10.738,22595.5483294729,4383877.0,13.66,1659.8242484164628
Croatia,2005,HRV,10.31,23538.7544252511,4378066.0,12.6,1923.0364336905648
Croatia,2006,HRV,10.264000000000001,24708.2992912917,4370782.0,11.13,2011.4802422906819
Croatia,2007,HRV,10.218,25966.0969395053,4362427.0,9.91,2044.828085031145
Croatia,2008,HRV,10.172,26460.8959793295,4352639.0,8.53,2376.684789480789
Croatia,2009,HRV,10.126,24548.7918388197,4341261.0,9.2,2111.162473950893
Croatia,2010,HRV,10.08,24280.6026929712,4328163.0,11.62,1717.619356001811
Cyprus,2000,CYP,10.86,33013.9825138552,943288.0,4.97,2379.5030697418397
Cyprus,2001,CYP,11.174,33950.959832956,960274.0,3.98,2886.852600585192
Cyprus,2002,CYP,11.488,34813.6766698246,976968.0,3.3,2683.2478192428725
Cyprus,2003,CYP,11.802,35295.3649844909,993562.0,4.14,2952.4229881078986
Cyprus,2004,CYP,12.116,36576.8730925333,1010410.0,4.33,2652.0019706699604
Cyprus,2005,CYP,12.43,37803.5755253568,1027656.0,5.3,2718.6245733164765
Cyprus,2006,CYP,12.214,38930.6130534338,1045508.0,4.54,3383.386909389931
Cyprus,2007,CYP,11.998,40053.4137891646,1063708.0,3.92,4577.453401563158
Cyprus,2008,CYP,11.782,40484.6149094716,1081568.0,3.65,4344.758139979439
Cyprus,2009,CYP,11.565999999999999,38618.0093651325,1098089.0,5.36,3289.571831997467
Cyprus,2010,CYP,11.35,38379.0903965443,1112617.0,6.26,3399.9416537238008
Denmark,2000,DNK,12.67,48907.0114021027,5341192.0,4.48,4976.1597850164835
Denmark,2001,DNK,12.594,49133.2231026505,5358059.0,4.16,4694.4064359349995
Denmark,2002,DNK,12.517999999999999,49204.8990055345,5372798.0,4.27,5294.218349005785
Denmark,2003,DNK,12.442,49262.6449732556,5386968.0,5.4,4636.581413909071
Denmark,2004,DNK,12.366,50446.5416048985,5402754.0,5.2,4712.042187736392
Denmark,2005,DNK,12.29,51483.273786293,5421701.0,4.83,5453.002388477994
Denmark,2006,DNK,12.032,53322.2889991783,5444293.0,3.9,5164.688525035472
Denmark,2007,DNK,11.774,53569.0280238008,5469920.0,3.8,5530.972635408946
Denmark,2008,DNK,11.516,52982.5317373493,5497731.0,3.68,5971.253198400217
Denmark,2009,DNK,11.258,50114.0500523227,5526389.0,6.41,4650.3430535166035
Denmark,2010,DNK,11.0,50825.4122929358,5554849.0,7.75,4988.775684664779
Estonia,2000,EST,9.57,17778.9655754809,1399111.0,13.36,1030.8207804174258
Estonia,2001,EST,10.786,18962.4768450013,1391739.0,13.13,1117.4459390896839
Estonia,2002,EST,12.002,20381.0715821163,1382737.0,10.03,1828.3607539735908
Estonia,2003,EST,13.218,22061.2718205367,1372904.0,11.29,1952.5624922708541
Estonia,2004,EST,14.434000000000001,23695.4929298202,1363570.0,10.25,2043.2983299380714
Estonia,2005,EST,15.65,26093.1591109829,1355650.0,8.03,2152.7277828011356
Estonia,2006,EST,14.998000000000001,28798.4026229086,1349373.0,5.91,2146.8326275027925
Estonia,2007,EST,14.346,31121.1197640419,1344295.0,4.59,2331.8607669411986
Estonia,2008,EST,13.694,29616.6905059021,1340067.0,5.45,2331.1156286075075
Estonia,2009,EST,13.042000000000002,25390.753967296,1336140.0,13.55,1793.4157429888728
Estonia,2010,EST,12.39,26133.3818108942,1332103.0,16.71,1956.3721158360515
Finland,2000,FIN,11.69,39894.1944569685,5187953.0,11.13,3035.253760524394
Finland,2001,FIN,11.974,40842.3417724243,5200475.0,10.29,4548.397461364729
Finland,2002,FIN,12.258,41439.019233448,5213368.0,10.42,3758.3411664666023
Finland,2003,FIN,12.542,42168.6934671901,5227106.0,10.47,5046.761721421791
Finland,2004,FIN,12.825999999999999,43724.9661225981,5242175.0,10.36,4857.146439255498
Finland,2005,FIN,13.11,44786.9096643071,5258933.0,8.38,4063.897772757811
Finland,2006,FIN,13.006,46412.2003478176,5277490.0,7.72,4323.650095431281
Finland,2007,FIN,12.902,48664.265707071,5297741.0,6.85,5539.1361700379175
Finland,2008,FIN,12.798,48817.989492787,5319452.0,6.37,5503.276668817656
Finland,2009,FIN,12.693999999999999,44662.100140396,5342266.0,8.25,5054.991258928777
Finland,2010,FIN,12.59,45874.6613021399,5365784.0,8.39,5314.478551913741
France,2000,FRA,14.08,39732.2824515749,59015092.0,10.22,3017.9372970632203
France,2001,FRA,13.882,40226.6270677305,59384126.0,8.61,4604.165492875282
France,2002,FRA,13.684,40388.6256508389,59803434.0,8.7,3653.52015123123
France,2003,FRA,13.486,40433.4900386568,60251591.0,8.31,3762.9932995393933
France,2004,FRA,13.288,41272.6323754944,60697977.0,8.91,4340.204951490376
France,2005,FRA,13.09,41643.9888864457,61120128.0,8.49,4131.252332714936
France,2006,FRA,12.952,42367.5698646841,61508924.0,8.45,4575.34088298691
France,2007,FRA,12.814,43127.2128556843,61869229.0,7.66,5152.862123682301
France,2008,FRA,12.676,42996.2097818165,62209207.0,7.06,4347.792485910817
France,2009,FRA,12.538,41546.4905796298,62542883.0,8.74,4934.852841397817
France,2010,FRA,12.4,42147.6716766942,62879535.0,8.87,4198.582189221783
Germany,2000,DEU,14.16,42864.9328892862,81400883.0,7.92,4032.1357233548733
Germany,2001,DEU,13.984,43512.43267398,81453894.0,7.77,4602.365029319717
Germany,2002,DEU,13.808,43353.3388942422,81535124.0,8.48,4152.7938740854315
Germany,2003,DEU,13.632,43025.9877312919,81614371.0,9.78,4129.228768850769
Germany,2004,DEU,13.456,43541.0326202312,81646474.0,10.73,4771.293137262031
Germany,2005,DEU,13.28,43884.5352789987,81602739.0,11.17,4924.498618946849
Germany,2006,DEU,13.152,45610.7818923168,81472235.0,10.25,4313.631090398405
Germany,2007,DEU,13.024,47031.2137894261,81277836.0,8.66,4935.555519550002
Germany,2008,DEU,12.896,47573.0273603862,81065751.0,7.52,4290.34294354502
Germany,2009,DEU,12.768,44978.1198711897,80899961.0,7.74,4931.540910173359
Germany,2010,DEU,12.64,46929.9934093156,80827001.0,6.97,5473.69583954005
Greece,2000,GRC,10.18,29186.324547399,11082103.0,11.25,2378.551207448523
Greece,2001,GRC,10.29,30234.5959617275,11134447.0,10.46,2643.393235920455
Greece,2002,GRC,10.4,31305.6936704984,11182308.0,9.97,2677.0715746023593
Greece,2003,GRC,10.51,33040.7682982488,11218879.0,9.41,2711.0639504247906
Greece,2004,GRC,10.620000000000001,34627.1806747136,11234993.0,10.31,2866.6005053672216
Greece,2005,GRC,10.73,34732.6440722251,11224800.0,9.99,2490.9366486858507
