country,year,disorder,value
Albania,2000,Schizophrenia,0.1945407797
Albania,2001,Schizophrenia,0.1948120831
Albania,2002,Schizophrenia,0.1952144122
Albania,2003,Schizophrenia,0.1956773182
Albania,2004,Schizophrenia,0.1961393927
Albania,2005,Schizophrenia,0.1965383032
Albania,2006,Schizophrenia,0.1970038509
Albania,2007,Schizophrenia,0.1976364899
Albania,2008,Schizophrenia,0.1983060006
Albania,2009,Schizophrenia,0.1989049419
Albania,2010,Schizophrenia,0.1993082781
Andorra,2000,Schizophrenia,0.263767171
Andorra,2001,Schizophrenia,0.2638373107
Andorra,2002,Schizophrenia,0.2640770846
Andorra,2003,Schizophrenia,0.2644409215
Andorra,2004,Schizophrenia,0.2648156433
Andorra,2005,Schizophrenia,0.2649979192
Andorra,2006,Schizophrenia,0.2650116926
Andorra,2007,Schizophrenia,0.2648849753
Andorra,2008,Schizophrenia,0.2646924346
Andorra,2009,Schizophrenia,0.264456713
Andorra,2010,Schizophrenia,0.2643052368
Austria,2000,Schizophrenia,0.2564126968
Austria,2001,Schizophrenia,0.2564349228
Austria,2002,Schizophrenia,0.256481213
Austria,2003,Schizophrenia,0.2565425755
Austria,2004,Schizophrenia,0.2565817199
Austria,2005,Schizophrenia,0.2565889503
Austria,2006,Schizophrenia,0.25652839
Austria,2007,Schizophrenia,0.2564399332
Austria,2008,Schizophrenia,0.2563264976
Austria,2009,Schizophrenia,0.2562386535
Austria,2010,Schizophrenia,0.2562005938
Belarus,2000,Schizophrenia,0.1892982398
Belarus,2001,Schizophrenia,0.189482262
Belarus,2002,Schizophrenia,0.1898632835
Belarus,2003,Schizophrenia,0.1903609302
Belarus,2004,Schizophrenia,0.1908989967
Belarus,2005,Schizophrenia,0.1913784951
Belarus,2006,Schizophrenia,0.1919358735
Belarus,2007,Schizophrenia,0.1926997298
Belarus,2008,Schizophrenia,0.1935336074
Belarus,2009,Schizophrenia,0.1943062411
Belarus,2010,Schizophrenia,0.1948919294
Belgium,2000,Schizophrenia,0.2594467242
Belgium,2001,Schizophrenia,0.2595248652
Belgium,2002,Schizophrenia,0.2596405017
Belgium,2003,Schizophrenia,0.259752231
Belgium,2004,Schizophrenia,0.2598374798
Belgium,2005,Schizophrenia,0.2598566381
Belgium,2006,Schizophrenia,0.2595741886
Belgium,2007,Schizophrenia,0.2589391713
Belgium,2008,Schizophrenia,0.2581926867
Belgium,2009,Schizophrenia,0.2575732832
Belgium,2010,Schizophrenia,0.2573068992
Bosnia and Herzegovina,2000,Schizophrenia,0.1949100824
Bosnia and Herzegovina,2001,Schizophrenia,0.1955888732
Bosnia and Herzegovina,2002,Schizophrenia,0.1962441989
Bosnia and Herzegovina,2003,Schizophrenia,0.1968436243
Bosnia and Herzegovina,2004,Schizophrenia,0.1973553746
Bosnia and Herzegovina,2005,Schizophrenia,0.1977559303
Bosnia and Herzegovina,2006,Schizophrenia,0.1980998789
Bosnia and Herzegovina,2007,Schizophrenia,0.1984579823
Bosnia and Herzegovina,2008,Schizophrenia,0.1988015716
Bosnia and Herzegovina,2009,Schizophrenia,0.1990999795
Bosnia and Herzegovina,2010,Schizophrenia,0.1993209847
Bulgaria,2000,Schizophrenia,0.1962565327
Bulgaria,2001,Schizophrenia,0.1963859695
Bulgaria,2002,Schizophrenia,0.196644693
Bulgaria,2003,Schizophrenia,0.1969830954
Bulgaria,2004,Schizophrenia,0.1973347894
Bulgaria,2005,Schizophrenia,0.1976507987
Bulgaria,2006,Schizophrenia,0.1980387051
Bulgaria,2007,Schizophrenia,0.1985903198
Bulgaria,2008,Schizophrenia,0.1991929589
Bulgaria,2009,Schizophrenia,0.1997539202
Bulgaria,2010,Schizophrenia,0.2001620329
Croatia,2000,Schizophrenia,0.2034508109
Croatia,2001,Schizophrenia,0.2037412697
Croatia,2002,Schizophrenia,0.2042296241
Croatia,2003,Schizophrenia,0.2048020231
Croatia,2004,Schizophrenia,0.2053452473
Croatia,2005,Schizophrenia,0.2057465304
Croatia,2006,Schizophrenia,0.2061027467
Croatia,2007,Schizophrenia,0.2065456512
Croatia,2008,Schizophrenia,0.206993378
Croatia,2009,Schizophrenia,0.2073533095
Croatia,2010,Schizophrenia,0.2075565522
Cyprus,2000,Schizophrenia,0.2522193811
Cyprus,2001,Schizophrenia,0.2523111619
Cyprus,2002,Schizophrenia,0.2524707
Cyprus,2003,Schizophrenia,0.2526655238
Cyprus,2004,Schizophrenia,0.2528419803
Cyprus,2005,Schizophrenia,0.2529465592
Cyprus,2006,Schizophrenia,0.2530753402
Cyprus,2007,Schizophrenia,0.2532913961
Cyprus,2008,Schizophrenia,0.2535297718
Cyprus,2009,Schizophrenia,0.2537179037
Cyprus,2010,Schizophrenia,0.2537925249
Czech Republic,2000,Schizophrenia,0.2066262197
Czech Republic,2001,Schizophrenia,0.2067846653
Czech Republic,2002,Schizophrenia,0.2070233968
Czech Republic,2003,Schizophrenia,0.2073041858
Czech Republic,2004,Schizophrenia,0.2075683325
Czech Republic,2005,Schizophrenia,0.2077589871
Czech Republic,2006,Schizophrenia,0.2079213866
Czech Republic,2007,Schizophrenia,0.2081265304
Czech Republic,2008,Schizophrenia,0.2083538219
Czech Republic,2009,Schizophrenia,0.2085514002
Czech Republic,2010,Schizophrenia,0.2087083758
Denmark,2000,Schizophrenia,0.2355460639
Denmark,2001,Schizophrenia,0.2354745649
Denmark,2002,Schizophrenia,0.2353921972
Denmark,2003,Schizophrenia,0.2353352212
Denmark,2004,Schizophrenia,0.2353411128
Denmark,2005,Schizophrenia,0.2354512587
Denmark,2006,Schizophrenia,0.2375021522
Denmark,2007,Schizophrenia,0.2421332223
Denmark,2008,Schizophrenia,0.2476296113
Denmark,2009,Schizophrenia,0.2522559795
Denmark,2010,Schizophrenia,0.2542683203
Estonia,2000,Schizophrenia,0.1964176106
Estonia,2001,Schizophrenia,0.1967729203
Estonia,2002,Schizophrenia,0.1973733519
Estonia,2003,Schizophrenia,0.1980881866
Estonia,2004,Schizophrenia,0.1987833801
Estonia,2005,Schizophrenia,0.199325841
Estonia,2006,Schizophrenia,0.1998148215
Estonia,2007,Schizophrenia,0.2003820136
Estonia,2008,Schizophrenia,0.2009768768
Estonia,2009,Schizophrenia,0.2015048509
Estonia,2010,Schizophrenia,0.2019039359
Finland,2000,Schizophrenia,0.2679627598
Finland,2001,Schizophrenia,0.2680868883
Finland,2002,Schizophrenia,0.2683206007
Finland,2003,Schizophrenia,0.2686025784
Finland,2004,Schizophrenia,0.2688329803
Finland,2005,Schizophrenia,0.2689637477
Finland,2006,Schizophrenia,0.2690316807
Finland,2007,Schizophrenia,0.2691049093
Finland,2008,Schizophrenia,0.2691381414
Finland,2009,Schizophrenia,0.2691065951
Finland,2010,Schizophrenia,0.2689671853
France,2000,Schizophrenia,0.258596095
France,2001,Schizophrenia,0.2586613576
France,2002,Schizophrenia,0.2587782645
France,2003,Schizophrenia,0.2589049188
France,2004,Schizophrenia,0.2590103151
France,2005,Schizophrenia,0.2590425051
France,2006,Schizophrenia,0.2588752971
France,2007,Schizophrenia,0.2585174774
France,2008,Schizophrenia,0.2580902345
France,2009,Schizophrenia,0.2576956145
France,2010,Schizophrenia,0.2574428607
Germany,2000,Schizophrenia,0.2511730256
Germany,2001,Schizophrenia,0.2513017145
Germany,2002,Schizophrenia,0.2515718697
Germany,2003,Schizophrenia,0.2518993897
Germany,2004,Schizophrenia,0.2521826664
Germany,2005,Schizophrenia,0.2523443463
Germany,2006,Schizophrenia,0.2522911701
Germany,2007,Schizophrenia,0.2520669003
Germany,2008,Schizophrenia,0.2517997544
Germany,2009,Schizophrenia,0.2515662234
Germany,2010,Schizophrenia,0.2514780118
Greece,2000,Schizophrenia,0.2507103632
Greece,2001,Schizophrenia,0.251014017
Greece,2002,Schizophrenia,0.2515736937
Greece,2003,Schizophrenia,0.2522444165
Greece,2004,Schizophrenia,0.2528506766
Greece,2005,Schizophrenia,0.2532484176
Greece,2006,Schizophrenia,0.2535000764
Greece,2007,Schizophrenia,0.2537568073
Greece,2008,Schizophrenia,0.2539823969
Greece,2009,Schizophrenia,0.2541207402
Greece,2010,Schizophrenia,0.2541238863
Hungary,2000,Schizophrenia,0.2009670135
Hungary,2001,Schizophrenia,0.2011941789
Hungary,2002,Schizophrenia,0.201507575
Hungary,2003,Schizophrenia,0.2018653171
Hungary,2004,Schizophrenia,0.2022069165
Hungary,2005,Schizophrenia,0.2024863793
Hungary,2006,Schizophrenia,0.2028137804
Hungary,2007,Schizophrenia,0.2032718285
Hungary,2008,Schizophrenia,0.2037663491
Hungary,2009,Schizophrenia,0.2041915938
Hungary,2010,Schizophrenia,0.2044453449
Iceland,2000,Schizophrenia,0.2560009829
Iceland,2001,Schizophrenia,0.2560641409
